keyword,search_volume,difficulty,position
"disposable vape",33100,65,1
"elf bar",27100,70,2
"vape",22200,80,5
"lost mary",18100,68,1
"geek bar",14800,65,3
"vape shop",12100,60,8
"e liquid",9900,55,4
"vape juice",8100,58,6
"disposable vapes",6600,62,2
"vaping",5400,75,12
"elf bar 600",4400,60,1
"vape pen",3600,58,9
"buy vape online",2900,52,4
"best vape",2400,62,7
"pod kit",2100,48,5
"vape mod",1900,50,11
"nic salt",1600,45,3
"shortfill",1300,42,2
"lost mary bm600",1100,55,1
"vape shop near me",990,58,15
"cheap vape",880,48,6
"vape coils",820,44,4
"vape tank",740,46,8
"disposable vape uk",720,52,2
"elf bar 600 puffs",680,58,1
"vape kit",650,50,9
"e cigarette",620,68,18
"vape online",590,55,5
"geek bar disposable",560,60,2
"vaping devices",540,52,11
"smok vape",510,48,7
"aspire vape",480,45,6
"voopoo",460,50,8
"vaporesso",440,48,9
"freemax",420,42,12
"uwell",400,44,10
"strawberry vape",380,40,4
"menthol vape",360,42,5
"tobacco flavour",340,38,7
"fruit vape",320,36,6
"dessert vape",300,38,9
"mint vape",290,40,8
"ice vape",280,38,5
"berry vape",270,35,11
"tropical vape",260,36,13
"vanilla vape",250,34,10
"how to vape",1200,35,14
"vaping guide",890,38,16
"best vape for beginners",780,42,8
"how to choose vape",650,40,12
"vape vs cigarette",620,45,15
"vaping laws uk",590,48,6
"nicotine strength guide",540,35,9
"vape maintenance",510,32,11
"coil replacement",480,30,7
"vape battery safety",460,33,13
"mtl vaping",440,36,5
"sub ohm vaping",420,38,8
"direct lung vaping",400,35,10
"mouth to lung",380,34,6
"best disposable vape",2100,58,3
"best pod kit",1800,52,5
"best vape juice",1600,55,7
"cheap disposable vape",1400,48,4
"vape deals",1200,50,9
"vape sale uk",1100,52,6
"discount vape",980,45,11
"vape clearance",890,42,13
"free delivery vape",820,48,8
"next day delivery vape",760,50,10
"10ml e liquid",1500,42,3
"50ml shortfill",1200,40,2
"100ml shortfill",980,38,4
"nic shot",890,35,1
"0mg e liquid",820,38,5
"3mg nicotine",760,36,4
"6mg nicotine",720,36,6
"12mg nicotine",680,35,7
"18mg nicotine",640,34,8
"nic salt e liquid",1100,45,2
"50/50 e liquid",980,40,3
"70/30 e liquid",890,42,5
"high vg e liquid",820,38,6
"tpd compliant",760,32,9
"uk tpd",720,30,7
"rechargeable vape",1400,48,4
"refillable vape",1200,45,5
"leak proof vape",980,40,8
"beginner vape kit",890,42,6
"starter vape kit",820,44,7
"advanced vape kit",760,46,11
"compact vape",720,38,9
"portable vape",680,36,10
"pocket vape",640,34,12
"travel vape",600,35,13
"discreet vape",560,32,14
