Keyword,Intents,Volume,Keyword Difficulty,CPC,Competition Density,vapourism.co.uk,vapeuk.co.uk,vapeshop.co.uk,totallywicked-eliquid.co.uk,vapourism.co.uk (pages),vapeuk.co.uk (pages),vapeshop.co.uk (pages),totallywicked-eliquid.co.uk (pages),Results
vape shop,Commercial,74000,96,0.00,0.00,0,1,2,6,,https://vapeuk.co.uk/,https://www.vapeshop.co.uk/,https://www.totallywicked-eliquid.co.uk/,111000000
vape uk,"Commercial, Navigational",74000,100,0.00,0.00,0,1,27,3,,https://vapeuk.co.uk/,https://www.vapeshop.co.uk/,https://www.totallywicked-eliquid.co.uk/,104000000
vape,Commercial,60500,97,0.00,0.00,0,3,31,7,,https://vapeuk.co.uk/,https://www.vapeshop.co.uk/,https://www.totallywicked-eliquid.co.uk/,218000000
vape shop near me,Transactional,60500,82,0.00,0.00,0,6,3,2,,https://vapeuk.co.uk/,https://www.vapeshop.co.uk/pages/store-locator,https://www.totallywicked-eliquid.co.uk/,143000000
vape shops near me,Transactional,60500,95,0.00,0.00,0,1,8,3,,https://vapeuk.co.uk/,https://www.vapeshop.co.uk/pages/store-locator,https://www.totallywicked-eliquid.co.uk/,24600000
vapes,Informational,49500,97,0.00,0.00,0,1,16,5,,https://vapeuk.co.uk/,https://www.vapeshop.co.uk/,https://www.totallywicked-eliquid.co.uk/,219000000
vaporesso,Navigational,40500,65,0.37,0.00,0,3,7,19,,https://vapeuk.co.uk/vendors/vaporesso,https://www.vapeshop.co.uk/collections/vaporesso,https://www.totallywicked-eliquid.co.uk/,7570000
hayati pro ultra,"Commercial, Informational",27100,10,1.51,0.23,0,1,17,57,,https://vapeuk.co.uk/hayati-pro-ultra-plus-25000-prefilled-pod-kit,https://www.vapeshop.co.uk/collections/hayati-pro-ultra-plus,https://www.totallywicked-eliquid.co.uk/,10
hayati pro max,"Commercial, Informational",22200,16,2.61,0.71,0,2,1,68,,https://vapeuk.co.uk/hayati-pro-max-plus-prefilled-pod-kit,https://www.vapeshop.co.uk/products/hayati-pro-max-6000-puffs,https://www.totallywicked-eliquid.co.uk/,5990000
lost mary bm6000,"Commercial, Informational",22200,17,0.00,0.00,0,2,29,3,,https://vapeuk.co.uk/lost-mary-bm6000-prefilled-pod-vape-kit,https://www.vapeshop.co.uk/collections/lost-mary-bm6000,https://www.totallywicked-eliquid.co.uk/lost-mary-bm6000,10
disposable vape,Informational,18100,32,0.00,0.00,0,1,4,2,,https://vapeuk.co.uk/pod-vape-kits/disposable-vape-alternatives,https://www.vapeshop.co.uk/collections/disposable-vape-kits,https://www.totallywicked-eliquid.co.uk/disposable-vape,23300000
lost mary,Navigational,18100,31,0.00,0.00,0,5,20,2,,https://vapeuk.co.uk/lost-mary-bm6000-prefilled-pod-vape-kit,https://www.vapeshop.co.uk/collections/lost-mary-pods,https://www.totallywicked-eliquid.co.uk/brands/lost-mary,1080000000
vapestore,Navigational,14800,100,0.00,0.00,0,8,36,14,,https://vapeuk.co.uk/,https://www.vapeshop.co.uk/,https://www.totallywicked-eliquid.co.uk/,2790000
vapory near me,Transactional,14800,45,0.00,0.00,0,15,8,31,,https://vapeuk.co.uk/,https://www.vapeshop.co.uk/pages/store-locator,https://www.totallywicked-eliquid.co.uk/stores/southend-on-sea-e-cig-vape-store,5400000
cape stores,Commercial,12100,97,0.00,0.00,0,5,6,7,,https://vapeuk.co.uk/,https://www.vapeshop.co.uk/,https://www.totallywicked-eliquid.co.uk/,31300000
ivg,Navigational,12100,24,0.00,0.04,0,2,12,6,,https://vapeuk.co.uk/vendors/i-vg,https://www.vapeshop.co.uk/products/ivg-air-4-in-1-vape-kit,https://www.totallywicked-eliquid.co.uk/brands/ivg,6780000
ivg 2400,"Informational, Transactional",12100,20,0.00,0.65,0,1,17,3,,https://vapeuk.co.uk/ivg-2400-prefilled-pod-vape-kit,https://www.vapeshop.co.uk/collections/ivg-2400,https://www.totallywicked-eliquid.co.uk/ivg-2400-4-in-1-disposable-vape,1360000
lost mary vape,"Commercial, Informational",12100,16,0.00,0.00,0,6,19,3,,https://vapeuk.co.uk/lost-mary-bm6000-prefilled-pod-vape-kit,https://www.vapeshop.co.uk/collections/lost-mary-bm600,https://www.totallywicked-eliquid.co.uk/brands/lost-mary,10
vampire vape,"Commercial, Navigational",12100,28,0.00,0.00,0,18,9,37,,https://vapeuk.co.uk/e-liquids/vampire-vape-e-liquids,https://www.vapeshop.co.uk/collections/vampire-vape,https://www.totallywicked-eliquid.co.uk/,3360000
vape liquid,"Commercial, Informational",12100,34,0.00,0.00,0,1,14,7,,https://vapeuk.co.uk/e-liquids,https://www.vapeshop.co.uk/collections/new-eliquid,https://www.totallywicked-eliquid.co.uk/,10
vape store,Commercial,12100,91,0.00,0.00,0,5,10,7,,https://vapeuk.co.uk/,https://www.vapeshop.co.uk/,https://www.totallywicked-eliquid.co.uk/,132000000
crystal vape,Informational,9900,18,0.00,0.00,0,4,10,6,,https://vapeuk.co.uk/vendors/ske,https://www.vapeshop.co.uk/collections/disposable-vape-kits,https://www.totallywicked-eliquid.co.uk/vaped/the-ultimate-guide-to-crystal-bar-vapes/,21000000
disposable vapes,"Informational, Transactional",9900,42,0.00,0.00,0,5,8,1,,https://vapeuk.co.uk/pod-vape-kits/disposable-vape-alternatives,https://www.vapeshop.co.uk/collections/disposable-vape-kits,https://www.totallywicked-eliquid.co.uk/disposable-vape,17900000
refillable vape,Commercial,9900,22,0.00,0.00,0,4,37,9,,https://vapeuk.co.uk/pod-vape-kits/refillable-pod-vape-kits,https://www.vapeshop.co.uk/collections/refillable-vape-kits?page=3,https://www.totallywicked-eliquid.co.uk/electronic-cigarette-kits/kit-types/vape-pod-kits/refillable-pod-vape-kits,26800000
vape juice,Commercial,9900,47,0.00,0.00,0,1,27,6,,https://vapeuk.co.uk/e-liquids,https://www.vapeshop.co.uk/collections/12mg-eliquid,https://www.totallywicked-eliquid.co.uk/,10
