Path,Current Value,Recommended Fix
/products/geekvape-q-side-fill-replacement-pods-xl-0-4ohm-0-6ohm-0-8ohm-1-2ohm,https://vapourism.myshopify.com/products/geekvape-q-side-fill-replacement-pods-xl-0-4ohm-0-6ohm-0-8ohm-1-2ohm,https://www.vapourism.co.uk/products/geekvape-q-side-fill-replacement-pods-xl-0-4ohm-0-6ohm-0-8ohm-1-2ohm
/products/10mg-maryliq-nic-salt-by-lost-mary-10ml-50vg-50pg,https://vapourism.myshopify.com/products/10mg-maryliq-nic-salt-by-lost-mary-10ml-50vg-50pg,https://www.vapourism.co.uk/products/10mg-maryliq-nic-salt-by-lost-mary-10ml-50vg-50pg
/products/voopoo-argus-z2-pod-vape-kit-20w,https://vapourism.myshopify.com/products/voopoo-argus-z2-pod-vape-kit-20w,https://www.vapourism.co.uk/products/voopoo-argus-z2-pod-vape-kit-20w
/products/20mg-maxfel-legend-fanady-8-in-1-2400-puffs-prefilled-pod-vape-kit,https://vapourism.myshopify.com/products/20mg-maxfel-legend-fanady-8-in-1-2400-puffs-prefilled-pod-vape-kit,https://www.vapourism.co.uk/products/20mg-maxfel-legend-fanady-8-in-1-2400-puffs-prefilled-pod-vape-kit
/products/0mg-the-custard-company-dubai-chocolate-120ml-shortfill-70vg-30pg,https://vapourism.myshopify.com/products/0mg-the-custard-company-dubai-chocolate-120ml-shortfill-70vg-30pg,https://www.vapourism.co.uk/products/0mg-the-custard-company-dubai-chocolate-120ml-shortfill-70vg-30pg
/products/0mg-dr-vapes-bubblegum-kings-100ml-shortfill-78vg-22pg,https://vapourism.myshopify.com/products/0mg-dr-vapes-bubblegum-kings-100ml-shortfill-78vg-22pg,https://www.vapourism.co.uk/products/0mg-dr-vapes-bubblegum-kings-100ml-shortfill-78vg-22pg
/products/freemax-fireluke-x1-x2-x3-x4-mesh-ss316l-coils-nx2-mesh,https://vapourism.myshopify.com/products/freemax-fireluke-x1-x2-x3-x4-mesh-ss316l-coils-nx2-mesh,https://www.vapourism.co.uk/products/freemax-fireluke-x1-x2-x3-x4-mesh-ss316l-coils-nx2-mesh
/products/0mg-avant-garde-e-liquid-originals-range-glass-shortfill-50ml-various-vg-pg-buy-1-get-1-free,https://vapourism.myshopify.com/products/0mg-avant-garde-e-liquid-originals-range-glass-shortfill-50ml-various-vg-pg-buy-1-get-1-free,https://www.vapourism.co.uk/products/0mg-avant-garde-e-liquid-originals-range-glass-shortfill-50ml-various-vg-pg-buy-1-get-1-free
/products/10mg-fantasi-nic-salt-series-10ml-50vg-50pg,https://vapourism.myshopify.com/products/10mg-fantasi-nic-salt-series-10ml-50vg-50pg,https://www.vapourism.co.uk/products/10mg-fantasi-nic-salt-series-10ml-50vg-50pg
/products/serendipity-by-wick-liquor-100ml-shortfill-0mg-80vg-20pg,https://vapourism.myshopify.com/products/serendipity-by-wick-liquor-100ml-shortfill-0mg-80vg-20pg,https://www.vapourism.co.uk/products/serendipity-by-wick-liquor-100ml-shortfill-0mg-80vg-20pg
