Keyword,Intents,Volume,Keyword Difficulty,CPC,Competition Density,vapourism.co.uk,vapeuk.co.uk,vapeclub.co.uk,vapestore.co.uk,vapeshop.co.uk,vapourism.co.uk (pages),vapeuk.co.uk (pages),vapeclub.co.uk (pages),vapestore.co.uk (pages),vapeshop.co.uk (pages),Results
clearpay,Navigational,246000,42,1.22,0.04,0,51,0,61,0,,https://vapeuk.co.uk/,,https://www.vapestore.co.uk/,,19300000
paypal uk,Navigational,165000,78,0.53,0.10,0,0,47,0,0,,,https://www.vapeclub.co.uk/,,,5
vape shop,Commercial,74000,98,0.00,0.00,0,3,4,2,1,,https://vapeuk.co.uk/,https://www.vapeclub.co.uk/,https://www.vapestore.co.uk/,https://www.vapeshop.co.uk/,107000000
vape uk,"Commercial, Navigational",74000,100,0.00,0.00,0,1,2,11,27,,https://vapeuk.co.uk/,https://www.vapeclub.co.uk/,https://www.vapestore.co.uk/,https://www.vapeshop.co.uk/,104000000
snus,Informational,60500,59,0.00,0.00,0,0,70,0,0,,,https://www.vapeclub.co.uk/nicotine-pouches/snu/,,,25600000
vape,Commercial,60500,97,0.00,0.00,0,1,4,3,18,,https://vapeuk.co.uk/,https://www.vapeclub.co.uk/,https://www.vapestore.co.uk/,https://www.vapeshop.co.uk/,190000000
vape shop near me,Transactional,60500,82,0.00,0.00,0,6,10,7,3,,https://vapeuk.co.uk/,https://www.vapeclub.co.uk/,https://www.vapestore.co.uk/,https://www.vapeshop.co.uk/pages/store-locator,143000000
vape shops near me,Transactional,60500,95,0.00,0.00,0,1,9,6,8,,https://vapeuk.co.uk/,https://www.vapeclub.co.uk/,https://www.vapestore.co.uk/,https://www.vapeshop.co.uk/pages/store-locator,24600000
vapes,Informational,49500,71,0.00,0.00,0,1,4,7,16,,https://vapeuk.co.uk/,https://www.vapeclub.co.uk/,https://www.vapestore.co.uk/,https://www.vapeshop.co.uk/collections/new-vape-kits,10
vape superstore,"Commercial, Navigational",40500,34,0.00,0.00,0,0,21,8,37,,,https://www.vapeclub.co.uk/,https://www.vapestore.co.uk/,https://www.vapeshop.co.uk/,1050000
