Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,nicotine_strength (product.metafields.custom.nicotine_strength),Showcase - Best Seller (product.metafields.custom.showcase_best_seller),Showcase - Featured (product.metafields.custom.showcase_featured),Showcase - Hero Accessories (product.metafields.custom.showcase_hero_accessories),Showcase - Hero CBD (product.metafields.custom.showcase_hero_cbd),Showcase - Hero Devices (product.metafields.custom.showcase_hero_devices),Showcase - Hero Disposables (product.metafields.custom.showcase_hero_disposables),Showcase - Hero E-Liquids (product.metafields.custom.showcase_hero_eliquids),Showcase - Hero Nicotine Pouches (product.metafields.custom.showcase_hero_nicotine_pouches),Showcase - Hero Pods/Coils (product.metafields.custom.showcase_hero_pods_coils),Showcase - New Arrival (product.metafields.custom.showcase_new_arrival),Google: Custom Product (product.metafields.mm-google-shopping.custom_product),E-liquid variety (product.metafields.shopify.e-liquid-variety),VG/PG ratio (product.metafields.shopify.vg-pg-ratio),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
20mg-ignite-double-apple-slim-nicotine-pouches-20-pouches,20mg Ignite Double Apple Slim Nicotine Pouches - 20 Pouches,"Experience the refreshing flavour of 20mg Ignite Double Apple Slim Nicotine Pouches, created by industry professionals to enhance your nicotine use. Each slim pouch delivers a burst of vibrant Double Apple taste, offering a satisfying option to traditional smoking. This pack includes 20 precisely measured pouches for easy, portable enjoyment.<br data-mce-fragment=""1""><br data-mce-fragment=""1""><strong data-mce-fragment=""1"">Specifications:</strong><br data-mce-fragment=""1"">
<ul data-mce-fragment=""1"">
<li data-mce-fragment=""1"">Strength: 20mg Per Pouch</li>
<li data-mce-fragment=""1"">Doses: 20 pouches</li>
<li data-mce-fragment=""1"">Tobacco-free, smoke-free and vapour-free</li>
<li data-mce-fragment=""1"">Mint Flavouring</li>
</ul>
<br data-mce-fragment=""1""><strong data-mce-fragment=""1"">Direction of Use:</strong> Place one pouch under your top or bottom lip. Position the pouch to the side of your lip for comfort. Remove after 30 to 60 minutes.",IGNITE,Health & Beauty > Health Care > Medicine & Drugs > Smoking Cessation Aids,Smoking Products,"20mg, isolate, nic_strength=20, parse_attributes_0, tincture",TRUE,Title,Default Title,,,,,,,,ED0174Z0142,31.7514659,shopify,0,deny,manual,3.68,4.6,TRUE,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0901/3696/9543/files/20mg-ignite-double-apple-slim-nicotine-pouches-20-pouches-2754766.webp?v=1766077327,1,20mg Ignite Double Apple Slim Nicotine Pouches - 20 Pouches - Vapourism,FALSE,20mg Ignite Double Apple Slim Nicotine Pouches - 20 Pouches,"Buy IGNITE Ignite Double Apple 20mg nicotine pouches. Tobacco-free, discreet pouches. Fast UK delivery, 18+ age verified.",Health & Beauty > Health Care > Medicine & Drugs,unisex,adult,ED0174Z0142,new,FALSE,,,,,,20mg,,,,,,,,,,,,,,,,,"ignite, 20mg, 20 mg, apple, nicotine pouches, nic pouches, tobacco free",https://cdn.shopify.com/s/files/1/0901/3696/9543/files/20mg-ignite-double-apple-slim-nicotine-pouches-20-pouches-2754766.webp?v=1766077327,lb,,2.3,active
11mg-ubbs-spearmint-strong-nicotine-pouches-20-pouches,11mg Übbs Spearmint Strong Nicotine Pouches - 20 Pouches,"<p data-mce-fragment=""1""><span data-mce-fragment=""1"">Übbs Strong Nicotine Pouches! </span>Discover a refreshing burst of flavour with 11mg. Each convenient pack contains 20 pouches that quickly disperse nicotine in your mouth for a satisfying hit without smoke or unpleasant odours. Designed for those seeking a clean and enjoyable alternative to traditional tobacco products, Übbs Nicotine Pouches offer a convenient and discreet way to enjoy nicotine without tobacco. With a wide range of flavours and a focus on convenience, these pouches are perfect for anyone looking for a new, smoke-free nicotine experience.<br data-mce-fragment=""1""><br data-mce-fragment=""1""><strong data-mce-fragment=""1"">Specifications:</strong><br data-mce-fragment=""1""></p>
<ul data-mce-fragment=""1"">
<li data-mce-fragment=""1"">Strength: 11 mg/g</li>
<li data-mce-fragment=""1"">Regular Strength </li>
<li data-mce-fragment=""1"">Weight: 30g </li>
<li data-mce-fragment=""1"">Doses: 20 pouches</li>
</ul>
<p data-mce-fragment=""1""><strong data-mce-fragment=""1"">Direction of Use:</strong><span data-mce-fragment=""1""> </span>Place one pouch under your top or bottom lip. Position the pouch to the side of your lip for comfort. Remove after 30 to 60 minutes. <br data-mce-fragment=""1""><br data-mce-fragment=""1""><strong data-mce-fragment=""1"">Flavour: <br data-mce-fragment=""1""></strong></p>
<ul data-mce-fragment=""1"">
<li data-mce-fragment=""1"">
<span data-mce-fragment=""1"">spearmint</span><span class=""aaz"" data-mce-fragment=""1""> </span>
</li>
</ul>",Übbs,Health & Beauty > Health Care > Medicine & Drugs > Smoking Cessation Aids,Smoking Products,"11mg, nic_strength=11, nicotine_pouches, parse_attributes_0, pouch, tobacco, traditional_nicotine",TRUE,Title,Default Title,,,,,,,,AJ0073X0467,31.7514659,shopify,61,deny,manual,4,5,TRUE,TRUE,,,,,8904415400382,https://cdn.shopify.com/s/files/1/0901/3696/9543/files/11mg-ubbs-spearmint-strong-nicotine-pouches-20-pouches-5503633.webp?v=1766077506,1,11mg Übbs Spearmint Strong Nicotine Pouches - 20 Pouches - Vapourism,FALSE,11mg Übbs Spearmint Strong Nicotine Pouches - 20 Pouches,"Buy Übbs Übbs Spearmint Strong 11mg nicotine pouches. Tobacco-free, discreet pouches. Fast UK delivery, 18+ age verified.",Health & Beauty > Health Care > Medicine & Drugs,unisex,adult,AJ0073X0467,new,FALSE,,,,,,,,,,,,,,,,,,,,,,,"übbs, 11mg, 11 mg, mint, spearmint, nicotine pouches, nic pouches, tobacco free",https://cdn.shopify.com/s/files/1/0901/3696/9543/files/11mg-ubbs-spearmint-strong-nicotine-pouches-20-pouches-5503633.webp?v=1766077506,lb,,2.5,active
15mg-helwit-extra-strong-banana-nicotine-pouches-20-pouches,15mg HELWIT Extra Strong Banana Nicotine Pouches - 20 Pouches,"<p>Enhance the effects of nicotine using 15mg HELWIT Extra Strong Banana Nicotine Pouches - 20 Pouches. Satisfy your taste buds with the timeless taste of banana while receiving 15mg/g of nicotine in each slim, all-white pouch. Weighing only 10g, these pouches are perfect for discreetly placing under your upper lip, providing a seamless and enjoyable nicotine experience. Elevate your nicotine intake with these user-friendly pouches and savor the well-rounded and gratifying sensations in any environment.<br><br></p>
<ul>
<li>Strength: Extra Strong </li>
<li>15mg/g Nicotine </li>
<li>Slim Packaging</li>
<li>Shelf Life 365 days</li>
<li>Made In Sweden</li>
<li>Weight: 10g<br>
</li>
</ul>
<p><br><strong>Flavour:</strong> Banana <br><br><strong>Ingredients:</strong> Cellulose fiber (E460i), Humectant (E422), Water, Flavourings, Nicotine Polacrilex, Salt, Erythritol (E968), Acidity regulator (E500), Sweetener (E955)<br></p>",HELWIT,Health & Beauty > Health Care > Medicine & Drugs > Smoking Cessation Aids,Smoking Products,"15mg, nic_strength=15, nicotine_pouches, parse_attributes_0, pouch",TRUE,Title,Default Title,,,,,,,,AG0208X0474,9.0718474,shopify,96,deny,manual,3.92,4.9,TRUE,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0901/3696/9543/files/15mg-helwit-extra-strong-banana-nicotine-pouches-20-pouches-5377369.webp?v=1766077328,1,15mg HELWIT Extra Strong Banana Nicotine Pouches - 20 Pouches - Vapourism,FALSE,15mg HELWIT Extra Strong Banana Nicotine Pouches - 20 Pou...,"Buy HELWIT HELWIT Extra Strong 15mg nicotine pouches. Tobacco-free, discreet pouches. Fast UK delivery, 18+ age verified.",Health & Beauty > Health Care > Medicine & Drugs,unisex,adult,AG0208X0474,new,FALSE,,,,,,,,,,,,,,,,,,,,,,,"helwit, 15mg, 15 mg, banana, nicotine pouches, nic pouches, tobacco free",https://cdn.shopify.com/s/files/1/0901/3696/9543/files/15mg-helwit-extra-strong-banana-nicotine-pouches-20-pouches-5377369.webp?v=1766077328,lb,,2.45,active
4nx-10mg-watermelon-ice-slim-nicotine-pouches-20-pouches,4NX 10mg Watermelon Ice Slim Nicotine Pouches - 20 Pouches,"<span data-mce-fragment=""1"">Bringing the potent taste of juicy, refreshingly sweet crisp watermelon backed with subtle hints of menthol, the 4NX Watermelon Ice Nicotine Pouch offer a strong nicotine intake through discreet means. Made in the UK, these Watermelon Ice 4NX Nicotine Pouches are 10mg strength, providing a fairly strong nicotine hit.</span><br data-mce-fragment=""1""><br data-mce-fragment=""1""><span data-mce-fragment=""1"">The 4NX pouches are slim and can be subtly placed under the top lip for a discreet and convenient nicotine hit. Being tobacco-free you don’t need to spit while using them, and they don’t produce vapour, smoke or odour, allowing you to use them discreetly at any time or on the go whilst you conveniently satisfy your nicotine cravings.</span><br data-mce-fragment=""1""><br data-mce-fragment=""1""><span data-mce-fragment=""1"">Each pouch lasts for up to 30 minutes, offering a tingly nicotine sensation. When you’re finished with a pouch, the 4NX tin comes with a waste compartment to place your used pouches in, keeping the process of disposal as discreet as possible.</span><br data-mce-fragment=""1""><br data-mce-fragment=""1""><strong data-mce-fragment=""1"">Specifications:</strong><br data-mce-fragment=""1"">
<ul data-mce-fragment=""1"">
<li data-mce-fragment=""1"">Made in the UK</li>
<li data-mce-fragment=""1"">20 Pouches per Tin</li>
<li data-mce-fragment=""1"">Strength: 10mg</li>
<li data-mce-fragment=""1"">Nicotine Level: Strong</li>
<li data-mce-fragment=""1"">Slim Design</li>
<li data-mce-fragment=""1"">Discreet Nicotine Enjoyment</li>
<li data-mce-fragment=""1"">Tobacco Free</li>
<li data-mce-fragment=""1"">Lasts For Up to 30 Minutes</li>
</ul>",4NX,Health & Beauty > Health Care > Medicine & Drugs > Smoking Cessation Aids,Smoking Products,"0mg, ice, nic_strength=10, nicotine_pouches, parse_attributes_0, pouch, tobacco",TRUE,Title,Default Title,,,,,,,,BJ0058X0475,49.8951607,shopify,0,deny,manual,3.52,4.4,TRUE,TRUE,,,,,5060882810581,https://cdn.shopify.com/s/files/1/0901/3696/9543/files/4nx-10mg-watermelon-ice-slim-nicotine-pouches-20-pouches-7701796.webp?v=1766077507,1,4NX 10mg Watermelon Ice Slim Nicotine Pouches - 20 Pouches - Vapourism,FALSE,4NX 10mg Watermelon Ice Slim Nicotine Pouches - 20 Pouches,"Buy 4NX 4NX Watermelon Ice 10mg nicotine pouches. Tobacco-free, discreet pouches. Fast UK delivery, 18+ age verified.",Health & Beauty > Health Care > Medicine & Drugs,unisex,adult,BJ0058X0475,new,FALSE,,,,,,,,,,,,,,,,,,,,,,,"4nx, 10mg, 10 mg, melon, watermelon, ice, nicotine pouches, nic pouches, tobacco free",https://cdn.shopify.com/s/files/1/0901/3696/9543/files/4nx-10mg-watermelon-ice-slim-nicotine-pouches-20-pouches-7701796.webp?v=1766077507,lb,,2.2,active
3mg-on-mini-regular-spicy-margarita-nicotine-pouches-20-pouches,3mg On! Mini Regular Spicy Margarita Nicotine Pouches - 20 Pouches,"<span data-mce-fragment=""1"">Unleash the full potential of nicotine with the tantalizing 3mg On! Mini Regular Spicy Margarita Nicotine Pouches. Perfectly suited for your everyday routine, these pouches pack a powerful punch of flavour with each use. With 20 mini pouches in every can, they're compact and travel-friendly. Satisfaction is just a pouch away. Whether you're new to nicotine or a seasoned user, these pouches offer a versatile and convenient way to satisfy your cravings. Don't wait, indulge in a must-have product for any tobacco lover today!</span><br data-mce-fragment=""1""><br data-mce-fragment=""1""><strong data-mce-fragment=""1"">Specifications:</strong><br data-mce-fragment=""1"">
<ul data-mce-fragment=""1"">
<li data-mce-fragment=""1"">Strength: 3 mg Per Pouch </li>
<li data-mce-fragment=""1"">Regular Strength</li>
<li data-mce-fragment=""1"">Weight: 30g</li>
<li data-mce-fragment=""1"">Doses: 20 pouches</li>
</ul>
<br data-mce-fragment=""1""><strong data-mce-fragment=""1"">Direction of Use:</strong><span data-mce-fragment=""1""> Place one pouch under your top or bottom lip. Position the pouch to the side of your lip for comfort. Remove after 30 to 60 minutes.</span><br data-mce-fragment=""1""><br data-mce-fragment=""1""><strong data-mce-fragment=""1"">Flavour:</strong><span data-mce-fragment=""1""></span>
<ul data-mce-fragment=""1"">
<li data-mce-fragment=""1"">Spicy Margarita<br data-mce-fragment=""1"">
</li>
</ul>",On!,Health & Beauty > Health Care > Medicine & Drugs > Smoking Cessation Aids,Smoking Products,"3mg, nic_strength=3, nicotine_pouches, parse_attributes_0, pouch, spices_&_herbs, tobacco",TRUE,Title,Default Title,,,,,,,,EB0187X0473,31.7514659,shopify,0,deny,manual,7.58,9.48,TRUE,TRUE,,,,,0000073189480,https://cdn.shopify.com/s/files/1/0901/3696/9543/files/267289020.webp?v=1763966133,1,267289020.webp,FALSE,3mg On! Mini Regular Spicy Margarita Nicotine Pouches - 2...,"Buy On! On! Mini Regular 3mg nicotine pouches. Tobacco-free, discreet pouches. Fast UK delivery, 18+ age verified.",Health & Beauty > Health Care > Medicine & Drugs,unisex,adult,EB0187X0473,new,FALSE,,,,,,3mg,,,,,,,,,,,,,,,,,"on!, 3mg, 3 mg, nicotine pouches, nic pouches, tobacco free",https://cdn.shopify.com/s/files/1/0901/3696/9543/files/267289020.webp?v=1763966133,lb,,4.74,active
16mg-gilo-nicotine-pouch-chokehold-grape-20-pouches-buy-1-get-1-free,16mg GILO Nicotine Pouch Chokehold Grape - 20 Pouches (Buy 1 Get 1 Free),"<p><b><i>Limited Time Offer: Buy 1 Get 1 Free</i></b></p>
<p><span>Gilo Nicotine Pouch in Raspberry Biteback is a bold and exhilarating option for those seeking a powerful nicotine experience. Each pouch contains 16 mg of nicotine, delivering a robust punch that combines the sweet, juicy flavor of ripe raspberries with an intense, refreshing bite. This unique flavor profile is designed to tantalize your taste buds while providing a satisfying nicotine release.</span></p>
<p><strong>Specifications:</strong></p>
<ul>
<li><span>12mg per pouch</span></li>
<li><span>20 Pouches</span></li>
</ul>
<p><span><strong>Ingredients: </strong><span data-teams=""true"">Filler (E460), nicotine, acidity regulator (E500), water, humectant (E1520), preservative (E202), salt, water retention agent (E420), stabilizer (E1400), flavouring, sweetener (E950)</span></span></p>",Gilo,Health & Beauty > Health Care > Medicine & Drugs > Smoking Cessation Aids,Smoking Products,"16mg, nicotine_pouches, parse_attributes_0, pouch",TRUE,Title,Default Title,,,,,,,,AJ0043X0522,13.6077711,shopify,15,deny,manual,3.44,4.3,TRUE,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0901/3696/9543/files/16mg-gilo-nicotine-pouch-chokehold-grape-20-pouches-buy-1-get-1-free-5320468.webp?v=1766077506,1,16mg GILO Nicotine Pouch Chokehold Grape - 20 Pouches (Buy 1 Get 1 Free) - Vapourism,FALSE,16mg GILO Nicotine Pouch Chokehold Grape - 20 Pouches (Bu...,"Buy Gilo GILO Chokehold Grape 16mg nicotine pouches. Tobacco-free, discreet pouches. Fast UK delivery, 18+ age verified.",Health & Beauty > Health Care > Medicine & Drugs,unisex,adult,AJ0043X0522,new,FALSE,,,,,,,,,,,,,,,,,,,,,,,"gilo, 16mg, 16 mg, grape, nicotine pouches, nic pouches, tobacco free",https://cdn.shopify.com/s/files/1/0901/3696/9543/files/16mg-gilo-nicotine-pouch-chokehold-grape-20-pouches-buy-1-get-1-free-5320468.webp?v=1766077506,lb,,2.15,active
12mg-poke-tropical-nicotine-pouches-20-pouches,12mg Poke Tropical Nicotine Pouches - 20 Pouches,"Indulge in a tropical paradise with  Poke Tropical Nicotine Pouches. Each box includes 20 pouches filled with exotic flavours, providing a unique and refreshing twist to your nicotine experience. These convenient and discreet pouches offer a smoke and vapour-free way to enjoy nicotine, with a balanced and controlled 12mg strength suitable for both experienced and new users. Every pouch transports you to a tropical oasis, bringing sunshine and relaxation to your day.<br data-mce-fragment=""1""><br data-mce-fragment=""1""><strong data-mce-fragment=""1"">Specifications:</strong><br data-mce-fragment=""1"">
<ul data-mce-fragment=""1"">
<li data-mce-fragment=""1"">Strength: 12mg Per Pouch</li>
<li data-mce-fragment=""1"">Doses: 20 pouches</li>
<li data-mce-fragment=""1"">Tobacco-free, smoke-free and vapour-free</li>
<li data-mce-fragment=""1"">Tropical Flavouring</li>
</ul>
<br data-mce-fragment=""1""><strong data-mce-fragment=""1"">Direction of Use:</strong> Place one pouch under your top or bottom lip. Position the pouch to the side of your lip for comfort. Remove after 30 to 60 minutes.",Poke,Health & Beauty > Health Care > Medicine & Drugs > Smoking Cessation Aids,Smoking Products,"12mg, nic_strength=12, nicotine_pouches, parse_attributes_0, pouch, tobacco",TRUE,Title,Default Title,,,,,,,,EE0040X0496,31.7514659,shopify,0,deny,manual,3.2,4,TRUE,TRUE,,,,,5744000041292,https://cdn.shopify.com/s/files/1/0901/3696/9543/files/267289320.webp?v=1763965941,1,267289320.webp,FALSE,12mg Poke Tropical Nicotine Pouches - 20 Pouches,"Buy Poke Poke Tropical 12mg nicotine pouches. Tobacco-free, discreet pouches. Fast UK delivery, 18+ age verified.",Health & Beauty > Health Care > Medicine & Drugs,unisex,adult,EE0040X0496,new,FALSE,,,,,,,,,,,,,,,,,,,,,,,"poke, 12mg, 12 mg, nicotine pouches, nic pouches, tobacco free",https://cdn.shopify.com/s/files/1/0901/3696/9543/files/267289320.webp?v=1763965941,lb,,2,active
4nx-10mg-icy-mint-slim-nicotine-pouches-20-pouches,4NX 10mg Icy Mint Slim Nicotine Pouches 20 Pouches,"<p data-mce-fragment=""1"">A refreshing, chilly fusion of menthol and fresh mint, you can experience 4NX’s breezy mint taste where ever you want. The 4NX nicotine pouches are smoke free, odour free, spit free and can be used on the go at anytime. They make for a discreet and convenient method to help you overcome your nicotine cravings.</p>
<p data-mce-fragment=""1"">- 20<span data-mce-fragment=""1""> </span>Pouches</p>
<p data-mce-fragment=""1"">- 10mg Nicotine</p>
<p data-mce-fragment=""1"">- Icy Mint Flavour</p>
<p><span data-mce-fragment=""1"">They're really easy to use; you start by placing a pouch inside your mouth in between your gum and lip for up to an hour. After that, you'll feel a tingling sensation for 5-10 minutes as the nicotine is absorbed.</span><br data-mce-fragment=""1""><br data-mce-fragment=""1""><span data-mce-fragment=""1"">Each of the 4NX Slim Nicotine Pouches comes in a very handy carry case. 4NX pouches are all-white and 100% Tobacco free.</span><br data-mce-fragment=""1""><br data-mce-fragment=""1""><strong data-mce-fragment=""1"">Specifications:</strong><br data-mce-fragment=""1""><span data-mce-fragment=""1"">Strength: 10 mg/g</span><br data-mce-fragment=""1""><span data-mce-fragment=""1"">Nicotine level: Strong</span><br data-mce-fragment=""1""><span data-mce-fragment=""1"">Doses: 20 pouches</span></p>",4NX,Health & Beauty > Health Care > Medicine & Drugs > Smoking Cessation Aids,Smoking Products,"0mg, 10mg, ice, nic_strength=10, nicotine_pouches, parse_attributes_0, pouch, tobacco",TRUE,Title,Default Title,,,,,,,,BB0020X0475,49.8951607,shopify,0,deny,manual,3.52,4.4,TRUE,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0901/3696/9543/files/4nx-10mg-icy-mint-slim-nicotine-pouches-20-pouches-2489462.webp?v=1766077447,1,4NX 10mg Icy Mint Slim Nicotine Pouches 20 Pouches - Vapourism,FALSE,4NX 10mg Icy Mint Slim Nicotine Pouches 20 Pouches,"Buy 4NX 4NX Icy Mint 10mg nicotine pouches. Tobacco-free, discreet pouches. Fast UK delivery, 18+ age verified.",Health & Beauty > Health Care > Medicine & Drugs,unisex,adult,BB0020X0475,new,FALSE,,,,,,,,,,,,,,,,,,,,,,,"4nx, 10mg, 10 mg, mint, nicotine pouches, nic pouches, tobacco free",https://cdn.shopify.com/s/files/1/0901/3696/9543/files/4nx-10mg-icy-mint-slim-nicotine-pouches-20-pouches-2489462.webp?v=1766077447,lb,,2.2,active
6mg-arctic7-wild-berry-slim-nicotine-pouches-20-pouches,6mg Arctic7 Wild Berry Slim Nicotine Pouches - 20 Pouches,"<p data-mce-fragment=""1"">Indulge in the invigorating taste of Arctic7's 6mg Wild Berry Slim Nicotine Pouches, expertly formulated to elevate your nicotine intake. Each slim pouch offers a burst of refreshing Spearmint flavour, providing a gratifying alternative to standard smoking. This pack features 20 accurately-measured pouches for convenient, on-the-go use.<br data-mce-fragment=""1""><strong data-mce-fragment=""1""></strong></p>
<p data-mce-fragment=""1""><strong data-mce-fragment=""1"">Specifications:</strong><br data-mce-fragment=""1""></p>
<ul data-mce-fragment=""1"">
<li data-mce-fragment=""1"">Strength: 6mg Per Pouch</li>
<li data-mce-fragment=""1"">Doses: 20 pouches</li>
<li data-mce-fragment=""1"">Tobacco-free, smoke-free and vapour-free</li>
<li data-mce-fragment=""1"">Wild Berry Flavouring</li>
</ul>
<br data-mce-fragment=""1""><strong data-mce-fragment=""1"">Direction of Use:</strong> Place one pouch under your top or bottom lip. Position the pouch to the side of your lip for comfort. Remove after 30 to 60 minutes.",Artic7,Health & Beauty > Health Care > Medicine & Drugs > Smoking Cessation Aids,Smoking Products,"6mg, nic_strength=6, nicotine_pouches, parse_attributes_0, pouch, tobacco",TRUE,Title,Default Title,,,,,,,,EE0029X0499,18.1436948,shopify,0,deny,manual,4,5,TRUE,TRUE,,,,,5744000041353,https://cdn.shopify.com/s/files/1/0901/3696/9543/files/6mg-arctic7-wild-berry-slim-nicotine-pouches-20-pouches-7207201.webp?v=1766077506,1,6mg Arctic7 Wild Berry Slim Nicotine Pouches - 20 Pouches - Vapourism,FALSE,Artic7 6mg Arctic7 Wild Berry Slim Nicotine Pouches - 20 ...,"Buy Artic7 Arctic7 Wild Berry 6mg nicotine pouches. Tobacco-free, discreet pouches. Fast UK delivery, 18+ age verified.",Health & Beauty > Health Care > Medicine & Drugs,unisex,adult,EE0029X0499,new,FALSE,,,,,,6mg,,,,,,,,,,,,,,,,,"artic7, 6mg, 6 mg, berry, nicotine pouches, nic pouches, tobacco free",https://cdn.shopify.com/s/files/1/0901/3696/9543/files/6mg-arctic7-wild-berry-slim-nicotine-pouches-20-pouches-7207201.webp?v=1766077506,lb,,2.5,active
50mg-nois-mini-extreme-nicotine-pouches-33-pouches,50mg NOIS Mini Extreme Nicotine Pouches - 33 Pouches,"<p>For those who desire a powerful nicotine hit, 50mg NOIS Mini Extreme Nicotine Pouches are the ultimate option. This pack of 33 pouches is perfect for experienced users, offering value and convenience in one. These mini pouches have a remarkable 50mg/g nicotine strength, providing a fast and invigorating effect that sets them apart from other extra strong nicotine pouches on the UK market. Their discreet mini format allows for discreet, comfortable use anywhere, while their tobacco-free, smoke-free, and vapour-free design means you can enjoy a clean and odourless experience without worrying about staining your teeth. The bold mint flavour infused with a cooling menthol sensation adds a refreshing burst of taste to every use, making these NOIS Mini Extreme pouches the ideal choice for those who want both strength and flavour in their nicotine routine. Regardless of whether you're trying to quit smoking or simply prefer a convenient, high-strength alternative, NOIS Mini Extreme Nicotine Pouch</p>
<p data-start=""0"" data-end=""524""><strong>Specifications:</strong></p>
<ul>
<li data-start=""0"" data-end=""524"">Nicotine Strength: 50mg/g Strength</li>
<li data-start=""0"" data-end=""524"">Tobacco-Free</li>
<li data-start=""0"" data-end=""524"">Smoke-Free</li>
<li data-start=""0"" data-end=""524"">Format: Mini</li>
<li>33 Pouches Per Pack</li>
</ul>
<p><strong>Flavours:</strong></p>
<ul>
<li>Extreme</li>
</ul>
<p><strong>Direction of Use:</strong> Place one pouch under your top or bottom lip. Position the pouch to the side of your lip for comfort. Remove after 30 to 60 minutes.</p>",NOIS,Health & Beauty > Health Care > Medicine & Drugs > Smoking Cessation Aids,Smoking Products,"0mg, ice, nic_strength=50, nicotine_pouches, parse_attributes_0, pouch, tobacco",TRUE,Title,Default Title,,,,,,,,AH0071Z0155,31.7514659,shopify,220,deny,manual,3.12,3.9,TRUE,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0901/3696/9543/files/50mg-nois-mini-extreme-nicotine-pouches-33-pouches-2391571.webp?v=1766077627,1,50mg NOIS Mini Extreme Nicotine Pouches - 33 Pouches - Vapourism,FALSE,50mg NOIS Mini Extreme Nicotine Pouches - 33 Pouches,"Buy NOIS NOIS Mini Extreme 50mg nicotine pouches. Tobacco-free, discreet pouches. Fast UK delivery, 18+ age verified.",Health & Beauty > Health Care > Medicine & Drugs,unisex,adult,AH0071Z0155,new,FALSE,,,,,,50mg,,,,,,,,,,,,,,,,,"nois, 50mg, 50 mg, nicotine pouches, nic pouches, tobacco free",https://cdn.shopify.com/s/files/1/0901/3696/9543/files/50mg-nois-mini-extreme-nicotine-pouches-33-pouches-2391571.webp?v=1766077627,lb,,1.95,active
